fid,OBJECTID,skredTidspunkt,Dato,Tidsnøyaktighet,registrertDato,registrertAv,Kvalitet,objektType,X,Y,skredID,ansvarligInstitusjon,eksposisjonUtlopsomr,snittHelningUtlopssomr_gr,maksHelningUtlopsomr_gr,minHelningUtlopsomr_gr,Høyde,noyHoydeStoppSkred,baneFlagg,veiFlagg,elvenettFlagg,bebyggelseProsent,jordbrukProsent,breProsent,kjenteSkredlopProsent,regions_id,Varslingsregion,safeName,SHAPE_Length,SHAPE_Area,new_Dato,new_registrertDato,count
"1","33",2020/04/30 06:07:08,2020/04/30 00:00:00,2 dager,2020/05/02 17:11:25,Sentinel-1,Godkjent kvalitet C,Utlop,143904.000836666,6942630.14261749,{6B2486D9-F514-4353-A7C0-879B0BA9E076},NVE satellitt,"108","33","41","26","1530",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,447.282317163302,8403.5,2020/04/30,2020/05/02,"1"
"2","49",2020/02/09 11:54:32,2020/02/09 00:00:00,6 timer,2020/02/09 17:02:33,Sentinel-1,Godkjent kvalitet B,Utlop,153611.500705374,6971818.74630795,{7DBC67DC-779F-4E02-8674-55078375B17B},NVE satellitt,"-36","19","35","7","939",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1926.77026496558,67626.5,2020/02/09,2020/02/09,"1"
"3","60",2020/02/11 23:58:21,2020/02/11 00:00:00,2 dager,2020/02/14 05:54:33,Sentinel-1,Godkjent kvalitet C,Utlop,128153.501250054,6946814.8763248,{E5111798-6243-49D6-910D-D7D9C539EB28},NVE satellitt,"41","28","37","18","236",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1207.57690237026,37723.4778500376,2020/02/11,2020/02/14,"1"
"4","73",2020/04/13 18:59:07,2020/04/13 00:00:00,12 timer,2020/04/14 05:54:34,Sentinel-1,Godkjent kvalitet B,Utlop,103265.852900971,6950161.48950644,{33E53F64-1F32-4100-AA57-AFA13E33574D},NVE satellitt,"4","50","63","32","730",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,606.528273005876,12558.5,2020/04/13,2020/04/14,"1"
"5","142",2020/11/29 11:54:00,2020/11/29 00:00:00,1 dager,2020/11/30 16:54:35,Sentinel-1,Godkjent kvalitet B,Utlop,146762.534432071,6953525.4958559,{8C2FB689-03D3-4B5B-9EDB-565F79380E95},NVE satellitt,"154","15","28","3","1135",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1405.45016700911,36431.5014000237,2020/11/29,2020/11/30,"1"
"6","150",2021/03/02 05:36:15,2021/03/02 00:00:00,2 dager,2021/03/04 17:10:48,Sentinel-1,Godkjent kvalitet C,Utlop,108697.001952962,6941928.16578767,{8E442070-6840-4693-BEEF-9E9322DC4DC4},NVE satellitt,"20","31","38","28","727",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,565.958749711142,11815,2021/03/02,2021/03/04,"1"
"7","154",2020/02/27 11:55:18,2020/02/27 00:00:00,6 timer,2020/02/27 17:03:16,Sentinel-1,Godkjent kvalitet B,Utlop,116422.14232468,6945261.9920951,{D5EA6C95-AD06-45D1-807A-3AE5F42611B3},NVE satellitt,"-145","20","25","14","644",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,367.049732161918,6356.5,2020/02/27,2020/02/27,"1"
"8","160",2020/12/11 05:46:38,2020/12/11 00:00:00,6 dager,2020/12/17 05:46:38,Sentinel-1,Godkjent kvalitet B,Utlop,146123.00081876,6955549.49577505,{F237362D-95C7-4AEA-932E-B07E43F8B2FF},NVE satellitt,"-59","39","53","31","1145",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,965.624568664207,24268.5,2020/12/11,2020/12/17,"1"
"9","175",2020/03/06 23:58:21,2020/03/06 00:00:00,2 dager,2020/03/09 05:54:33,Sentinel-1,Godkjent kvalitet C,Utlop,142942.870628227,6959739.49541394,{19BEC142-CEDA-4AFD-8B6D-41AF4CFD1E3D},NVE satellitt,"173","16","30","5","818",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1723.71390441361,61414.5,2020/03/06,2020/03/09,"1"
"10","218",2019/12/07 00:06:16,2019/12/07 00:00:00,2 dager,2019/12/09 06:02:53,Sentinel-1,Godkjent kvalitet C,Utlop,125031.001354127,6948544.34251983,{4AB60B3C-DE25-46D0-B9CF-24907BD5C744},NVE satellitt,"-130","14","22","5","1152",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,646.822735324678,17059,2019/12/07,2019/12/09,"1"
"11","400",2020/11/11 11:54:53,2020/11/11 00:00:00,6 timer,2020/11/11 17:02:43,Sentinel-1,Godkjent kvalitet B,Utlop,147322.000800705,6958636.5039568,{8226518B-1DDA-4E94-B12E-29FE5BE7CF9F},NVE satellitt,"3","27","44","7","995",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,2802.57010502396,80172.4991999865,2020/11/11,2020/11/11,"1"
"12","402",2020/04/03 00:28:41,2020/04/03 00:00:00,6 timer,2020/04/03 05:46:56,Sentinel-1,Godkjent kvalitet B,Utlop,143990.014758715,6954358.9955772,{167528D3-1286-4726-9889-6FCBEDB943FF},NVE satellitt,"-141","29","38","21","1165",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1085.95680238236,28816.5,2020/04/03,2020/04/03,"1"
"13","406",2020/03/28 11:54:32,2020/03/28 00:00:00,6 timer,2020/03/28 17:02:33,Sentinel-1,Godkjent kvalitet B,Utlop,109470.501964775,6950851.26132072,{8F2715B9-3F44-41B4-B3DF-796CD4BACA90},NVE satellitt,"105","24","30","19","660",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,684.922339524985,23227.5003000051,2020/03/28,2020/03/28,"1"
"14","426",2020/01/11 05:28:28,2020/01/11 00:00:00,12 timer,2020/01/11 16:54:28,Sentinel-1,Godkjent kvalitet C,Utlop,127440.501442041,6993419.11548175,{4B0B8FC0-1A38-424E-BACC-A9F132D68C54},NVE satellitt,"-28","10","38","1","85",50m,"0","0","0",0,0.89,0,0,"3023",Romsdal,Romsdal,2123.91781368342,127354,2020/01/11,2020/01/11,"1"
"15","456",2020/02/27 05:36:51,2020/02/27 00:00:00,12 timer,2020/02/27 17:03:16,Sentinel-1,Godkjent kvalitet B,Utlop,121956.160673353,6949909.49289315,{8851557A-6EB5-48D3-8AFD-2FF9A08B9858},NVE satellitt,"86","32","34","29","203",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,565.130252028229,10600.5,2020/02/27,2020/02/27,"1"
"16","477",2020/02/05 23:58:58,2020/02/05 00:00:00,2 dager,2020/02/08 05:55:04,Sentinel-1,Godkjent kvalitet C,Utlop,142928.500892395,6957417.00889875,{7C7C1F0D-EFCC-4DAA-B65B-4F317230743D},NVE satellitt,"-13","15","28","6","1104",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,645.978545704834,11897,2020/02/05,2020/02/08,"1"
"17","482",2019/12/30 05:28:41,2019/12/30 00:00:00,12 timer,2019/12/30 16:54:28,Sentinel-1,Godkjent kvalitet C,Utlop,145774.000934905,7001199.00841796,{C311416E-7886-4316-851B-8F8F9A2B2993},NVE satellitt,"16","13","23","9","49",50m,"0","0","0",0,0.81,0,0,"3023",Romsdal,Romsdal,484.694762634236,10564,2019/12/30,2019/12/30,"1"
"18","547",2020/02/16 05:28:38,2020/02/16 00:00:00,12 timer,2020/02/16 16:54:26,Sentinel-1,Godkjent kvalitet B,Utlop,146757.500815577,6960107.32868613,{A9BB95BD-017F-4225-9C9B-BB03505C0845},NVE satellitt,"132","27","36","16","800",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,645.964519345999,13475.5,2020/02/16,2020/02/16,"1"
"19","563",2020/11/10 18:21:21,2020/11/10 00:00:00,12 timer,2020/11/11 05:46:39,Sentinel-1,Godkjent kvalitet B,Utlop,129059.001293408,6967674.98093199,{8B078945-64C3-4988-B307-89855E3A203B},NVE satellitt,"24","29","35","22","863",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,486.020102836319,10500.4969999492,2020/11/10,2020/11/11,"1"
"20","565",2020/02/27 11:55:18,2020/02/27 00:00:00,6 timer,2020/02/27 17:03:16,Sentinel-1,Godkjent kvalitet B,Utlop,140749.500938814,6955870.23864575,{E209251C-BDE3-4BCB-98CB-8FE5F7884490},NVE satellitt,"60","23","30","16","484",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,528.213002889695,12959.5,2020/02/27,2020/02/27,"1"
"21","622",2020/02/16 05:28:38,2020/02/16 00:00:00,12 timer,2020/02/16 16:54:26,Sentinel-1,Godkjent kvalitet B,Utlop,143999.316971407,6947018.49565294,{1735B87B-7DA8-406F-81D1-CB8F3A196942},NVE satellitt,"19","28","33","24","930",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,805.729413633133,16077.9976499602,2020/02/16,2020/02/16,"1"
"22","666",2020/02/14 12:02:42,2020/02/14 00:00:00,6 timer,2020/02/14 17:10:27,Sentinel-1,Godkjent kvalitet B,Utlop,140659.706562252,6956396.99520919,{F9F6992A-6C51-4AAF-A901-89B23DC3AD11},NVE satellitt,"39","26","39","17","306",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,3637.61420811229,148151.993800011,2020/02/14,2020/02/14,"1"
"23","681",2020/04/01 18:59:05,2020/04/01 00:00:00,12 timer,2020/04/02 05:54:33,Sentinel-1,Godkjent kvalitet B,Utlop,91211.3566945726,6956413.98644733,{A1DE41E4-7360-479B-B6DC-DE66629DB705},NVE satellitt,"-1","41","61","29","823",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,728.461966787108,22420.4947501067,2020/04/01,2020/04/02,"1"
