fid;OBJECTID;area_poly;area_40;area_60;area_120;Varslingsr;area_20
1;2959;8114;20683;34164;89249;Romsdal;9492
2;3223;13773;24786;40468;102137;Romsdal;11381
3;3986;20721;27428;42806;96801;Romsdal;12161
4;4894;27319;31112;47880;112616;Romsdal;15698
5;7016;22140;29078;46732;113094;Romsdal;13614
6;13407;27406;37666;58849;136514;Romsdal;18499
7;14085;12334;29234;45561;104641;Romsdal;14002
8;15583;18776;31395;49604;118059;Romsdal;15023
9;16768;19876;37113;58840;140221;Romsdal;17618
10;21962;61767;54721;90339;203111;Romsdal;24002
11;22091;10145;13962;24122;74451;Romsdal;6347
12;22765;12125;19257;32873;86573;Romsdal;8792
13;23037;8436;20271;33807;89105;Romsdal;9073
14;23580;68086;56425;85521;169328;Romsdal;28314
15;27911;44012;44088;68509;155672;Romsdal;21624
16;29810;15462;28595;45409;109331;Romsdal;13756
17;30661;23567;30715;47900;113819;Romsdal;15088
18;30936;11703;22923;37657;96478;Romsdal;10508
19;31058;34640;55365;84833;186783;Romsdal;27672
20;33287;30113;35300;54995;122052;Romsdal;17102
21;33984;10880;23482;38616;98662;Romsdal;10680
22;34637;39255;35479;57818;142553;Romsdal;15997
23;35516;8526;22214;36316;93176;Romsdal;10292
24;35798;26113;35434;55329;119854;Romsdal;17216
25;41382;9693;7898;15946;56026;Romsdal;2984
26;42430;39269;30570;53599;143070;Romsdal;12091
27;43282;9735;22889;37580;96257;Romsdal;10489
28;46114;15456;22014;33607;78840;Romsdal;11037
29;48397;930;6562;10945;32127;Romsdal;2577
30;52020;6384;19034;32066;85940;Romsdal;8384
31;52089;19589;32129;51185;122781;Romsdal;15197
32;52705;10978;23264;37891;96457;Romsdal;10898
33;53109;33952;42967;66318;150230;Romsdal;21487
34;55313;17297;26061;40913;107441;Romsdal;12801
35;56081;32371;31403;50790;124852;Romsdal;14807
36;56897;6371;18730;31522;78074;Romsdal;8293
37;61571;23483;32110;54716;134604;Romsdal;13956
38;65021;41563;43671;67668;153479;Romsdal;21530
39;65940;16086;32195;51077;122097;Romsdal;15463
40;66697;26439;47811;73314;160708;Romsdal;23448
41;69300;45024;48438;73937;163888;Romsdal;24698
42;70033;130053;95329;137260;275295;Romsdal;50829
43;70231;9809;24132;39280;98903;Romsdal;11182
44;74000;34315;40609;62940;143863;Romsdal;20157
45;77095;42028;26253;45559;122636;Romsdal;11023
46;79777;7593;19046;32122;86155;Romsdal;8386
47;80175;63941;77967;114499;227750;Romsdal;40596
48;80187;27551;29066;44922;109011;Romsdal;13981
49;81321;10643;24548;39612;99266;Romsdal;11669
50;81997;25200;37300;57152;131003;Romsdal;19449
51;83710;20076;32518;51393;111142;Romsdal;15638
52;89710;17626;29848;47003;112976;Romsdal;14826
53;91517;488;8406;15223;38816;Romsdal;2983
54;92437;8578;22877;37235;94827;Romsdal;10734
55;92805;20982;35006;54616;127232;Romsdal;17244
56;93241;121052;71479;107994;229822;Romsdal;36051
57;95002;16596;26368;42870;107017;Romsdal;12172
58;97900;96045;59317;95966;218676;Romsdal;27463
59;98869;63906;32270;49760;123735;Romsdal;16717
60;99370;60903;52548;83109;193207;Romsdal;26559
61;99454;16395;17373;30041;83347;Romsdal;6581
62;100354;30623;41937;66811;154501;Romsdal;20102
63;100772;6447;16170;27806;79891;Romsdal;6942
64;102280;37289;32795;50221;113323;Romsdal;15659
65;102565;18723;17114;27731;70918;Romsdal;7744
66;102716;6854;21239;35021;90791;Romsdal;9691
67;103914;7327;22584;36991;94678;Romsdal;10422
68;105142;25330;34083;53631;126643;Romsdal;16607
69;107400;54797;26090;42786;100786;Romsdal;11908
70;111829;7194;19072;32159;86203;Romsdal;8401
71;113334;13935;24367;41486;107508;Romsdal;10815
72;113904;19559;29648;47323;114707;Romsdal;14118
73;115367;7664;20642;34228;89729;Romsdal;9413
74;115775;10958;23831;38696;97804;Romsdal;11105
75;115962;17653;35033;55421;130668;Romsdal;16719
76;117016;10592;26123;42408;105625;Romsdal;12121
77;118116;13856;27095;43682;107959;Romsdal;12734
78;119336;40213;47919;72958;160683;Romsdal;24227
79;128251;30857;38983;60568;142641;Romsdal;19261
80;130350;27403;36409;57104;133509;Romsdal;17754
81;131175;11013;21030;34362;90825;Romsdal;10230
82;132717;23714;34810;54587;128289;Romsdal;17073
83;135609;26673;39824;61601;140522;Romsdal;19502
84;136809;34499;46379;68598;144283;Romsdal;23562
85;137414;107717;56202;89891;204097;Romsdal;25191
86;137818;28973;39521;62117;144833;Romsdal;18756
87;141006;10934;20587;32792;82021;Romsdal;10027
88;141756;63077;51762;83746;189695;Romsdal;21337
89;146691;62916;44184;69214;156424;Romsdal;21667
90;147891;29080;39868;62041;142302;Romsdal;19656
91;148019;32443;43942;67830;152816;Romsdal;21768
92;149460;46713;42460;66086;147788;Romsdal;20784
93;152941;56861;57200;86370;186265;Romsdal;29211
94;153329;15484;28646;45972;112250;Romsdal;13504
95;153596;23884;41583;64239;145977;Romsdal;20744
96;153871;24509;35340;54612;126879;Romsdal;17840
97;154697;12182;20885;34547;91450;Romsdal;9540
98;157271;33888;37425;58185;136738;Romsdal;18493
99;158534;18555;37254;58213;134151;Romsdal;18092
100;158812;14635;18851;33188;93924;Romsdal;8016
101;159843;30596;26228;41075;101762;Romsdal;12946
102;159921;15684;27593;40661;85886;Romsdal;14443
103;160624;17615;30597;48438;116227;Romsdal;14857
104;160918;32663;30935;49040;125263;Romsdal;15241
105;162122;12542;22944;37736;96855;Romsdal;10507
106;162789;6879;20704;34194;89313;Romsdal;9504
107;163071;27716;30726;48526;118788;Romsdal;15000
108;164379;12131;23548;38756;99121;Romsdal;10692
109;165153;21596;33037;52333;124275;Romsdal;15784
110;165332;66256;51295;80319;181953;Romsdal;25492
111;166732;33842;27473;46704;120610;Romsdal;11534
112;166799;7595;19012;32077;86061;Romsdal;8358
113;168375;25416;38192;59927;139326;Romsdal;18509
114;170744;66726;83012;123459;251742;Romsdal;42795
115;171850;27230;41650;63593;142158;Romsdal;21052
116;171939;36506;45707;70145;156946;Romsdal;22922
117;172390;14987;25144;41151;103892;Romsdal;11502
118;172997;20104;28684;46009;117248;Romsdal;13966
119;174464;71602;56787;84956;188023;Romsdal;29174
120;174895;50123;44648;72013;169041;Romsdal;20324
121;176507;23007;39428;61321;140455;Romsdal;19288
122;178176;29021;33846;53543;127709;Romsdal;16474
123;178274;9638;11641;18115;42589;Romsdal;5484
124;179799;61912;51289;78024;171811;Romsdal;25849
125;179991;39135;31550;49773;117810;Romsdal;14972
126;181508;74383;68726;101696;212018;Romsdal;35638
127;185952;29170;28644;41316;82319;Romsdal;15185
128;186742;10519;22593;37041;95038;Romsdal;10417
129;248871;10119;11644;21124;63771;Romsdal;5035
130;741;13656;35410;55686;130652;Romsdal;17199
131;4546;26396;42516;65522;148060;Romsdal;21290
132;5834;13550;30364;48127;115366;Romsdal;14723
133;11784;9763;23862;38888;98506;Romsdal;11104
134;12400;17221;29957;47752;115596;Romsdal;14298
135;16808;13887;29880;47640;114957;Romsdal;14201
136;19763;55331;62056;92883;192175;Romsdal;31335
137;20776;32578;50388;76363;165142;Romsdal;25951
138;21716;11108;26475;42314;98110;Romsdal;12787
139;22503;8021;10403;17482;57418;Romsdal;4754
140;30247;20508;34374;53317;124094;Romsdal;17015
141;32944;13142;28696;45943;111744;Romsdal;13586
142;33736;28195;48943;74839;165213;Romsdal;24421
143;38305;10165;23240;38212;97796;Romsdal;10605
144;38538;8443;9229;18045;56862;Romsdal;3671
145;47708;109353;113229;164857;316384;Romsdal;60390
146;47747;10439;22009;35815;90264;Romsdal;9957
147;48229;63331;71278;105457;216420;Romsdal;37850
148;54853;13207;31328;48845;110474;Romsdal;14995
149;57283;8877;19331;29395;66507;Romsdal;9520
150;61051;64028;50819;79807;179709;Romsdal;23657
