registrert,count
2020-01-04T16:15:21.000,"247"
2020-04-03T16:14:35.000,"72"
2020-01-25T05:19:22.000,"11"
2020-03-30T05:27:44.000,"173"
2020-04-30T05:19:23.000,"168"
2020-04-11T15:59:15.000,"35"
2021-01-11T16:06:26.000,"86"
2020-04-29T05:28:19.000,"165"
2020-01-13T05:19:22.000,"241"
2020-01-30T05:27:44.000,"11"
2020-04-13T05:11:10.000,"84"
2020-04-28T16:07:09.000,"285"
2020-01-05T16:06:29.000,"100"
2020-01-13T15:51:14.000,"65"
2020-04-10T16:06:29.000,"42"
2020-04-25T05:11:11.000,"341"
2020-03-13T05:19:21.000,"12"
2019-12-02T05:20:32.000,"28"
2021-04-10T16:14:57.000,"87"
2019-12-09T05:11:58.000,"318"
2019-12-11T16:15:21.000,"120"
2019-11-25T15:58:20.000,"7"
2021-02-17T15:59:15.000,"455"
2020-03-17T16:06:28.000,"2"
2020-11-15T05:11:19.000,"43"
2019-12-01T05:27:47.000,"71"
2020-05-01T05:11:57.000,"163"
2020-04-24T15:50:10.000,"60"
2020-04-27T16:14:36.000,"258"
2020-04-17T05:28:17.000,"49"
2020-03-28T16:15:20.000,"31"
2020-03-30T15:59:13.000,"203"
2020-11-09T05:12:05.000,"132"
2020-01-28T16:15:20.000,"33"
2019-12-13T05:27:46.000,"23"
2020-03-31T05:20:29.000,"187"
2019-12-12T16:06:31.000,"61"
2020-01-26T05:11:55.000,"12"
2020-01-08T05:11:11.000,"109"
2020-03-29T16:06:29.000,"165"
2020-11-07T15:58:26.000,"13"
2020-04-15T16:14:35.000,"48"
2020-01-16T16:15:20.000,"20"
2020-05-05T05:27:46.000,"46"
2020-05-04T16:06:29.000,"17"
2020-11-14T05:20:39.000,"44"
2020-04-29T15:58:20.000,"182"
2020-04-11T05:27:44.000,"22"
2020-03-14T05:11:55.000,"1"
2020-12-01T15:58:22.000,"59"
2020-03-31T15:50:10.000,"89"
2020-01-01T05:19:23.000,"8"
2021-01-13T15:50:37.000,"9"
2020-04-12T05:20:29.000,"25"
2020-01-31T05:20:29.000,"12"
2019-12-31T15:58:20.000,"18"
2020-04-01T05:11:10.000,"24"
2021-01-04T16:15:03.000,"2"
2020-01-14T05:11:57.000,"133"
2020-12-26T15:51:20.000,"15"
2020-01-17T16:06:29.000,"29"
2020-02-15T16:14:35.000,"77"
2020-04-24T05:20:31.000,"60"
2020-12-29T16:15:27.000,"5"
2020-02-10T16:06:29.000,"12"
2020-02-29T15:58:17.000,"6"
2020-01-29T16:06:29.000,"30"
2020-04-17T15:58:19.000,"40"
2020-12-27T05:12:03.000,"48"
2019-12-13T15:59:16.000,"18"
2020-01-18T15:59:15.000,"50"
2020-12-02T05:19:30.000,"46"
2020-03-12T15:58:17.000,"10"
2020-01-11T16:07:09.000,"14"
2021-01-12T05:27:50.000,"105"
2021-02-15T16:15:24.000,"14"
2021-02-11T15:58:19.000,"3"
2019-12-25T05:27:46.000,"4"
