registrert,count
2020/05/02 17:11:25.000,"125"
2020/02/09 17:02:33.000,"113"
2020/02/14 05:54:33.000,"168"
2020/04/14 05:54:34.000,"121"
2020/11/30 16:54:35.000,"6"
2021/03/04 17:10:48.000,"70"
2020/02/27 17:03:16.000,"179"
2020/12/17 05:46:38.000,"5"
2020/03/09 05:54:33.000,"15"
2019/12/09 06:02:53.000,"74"
2020/11/11 17:02:43.000,"23"
2020/04/03 05:46:56.000,"175"
2020/03/28 17:02:33.000,"112"
2020/01/11 16:54:28.000,"25"
2020/02/08 05:55:04.000,"90"
2019/12/30 16:54:28.000,"3"
2020/02/16 16:54:26.000,"39"
2020/11/11 05:46:39.000,"19"
2020/02/14 17:10:27.000,"65"
2020/04/02 05:54:33.000,"211"
2020/05/03 17:02:36.000,"103"
2020/03/23 16:54:26.000,"13"
2020/03/14 06:02:50.000,"50"
2020/05/14 17:11:25.000,"269"
2020/02/03 05:46:55.000,"39"
2019/12/04 05:54:35.000,"8"
2020/04/08 17:11:23.000,"27"
2019/12/17 17:03:19.000,"37"
2020/03/15 05:55:04.000,"71"
2020/01/14 06:02:52.000,"102"
2020/01/27 05:55:04.000,"84"
2020/01/03 17:11:10.000,"31"
2020/05/02 05:55:05.000,"37"
2020/04/01 06:03:14.000,"21"
2020/01/28 17:02:33.000,"77"
2020/02/19 06:02:50.000,"33"
2020/03/27 05:55:04.000,"23"
2020/04/09 17:02:33.000,"52"
2020/05/28 16:55:11.000,"17"
2020/02/02 05:54:33.000,"72"
2020/03/10 17:03:16.000,"9"
2020/05/14 05:55:05.000,"188"
2020/01/09 17:10:28.000,"24"
2020/03/08 06:03:14.000,"18"
2020/04/15 17:03:18.000,"120"
2020/05/09 17:03:19.000,"86"
2019/12/10 05:55:05.000,"113"
2020/05/10 16:54:29.000,"24"
2019/12/17 05:46:56.000,"56"
2020/02/26 17:10:51.000,"112"
2020/01/04 05:46:31.000,"118"
2020/03/15 17:11:09.000,"29"
2020/11/16 05:54:43.000,"13"
2020/01/04 17:02:35.000,"147"
2020/04/08 05:55:04.000,"51"
2020/01/27 17:11:10.000,"59"
2019/11/30 16:55:10.000,"4"
2019/12/29 17:03:19.000,"11"
2020/04/27 05:46:56.000,"60"
2020/01/09 05:54:34.000,"79"
2020/04/03 17:03:18.000,"129"
2020/04/02 17:10:52.000,"210"
2020/12/03 06:03:00.000,"20"
2020/05/15 17:02:36.000,"269"
2020/04/02 17:10:27.000,"62"
2020/01/10 17:03:19.000,"135"
2020/03/03 17:11:09.000,"5"
2020/11/12 16:55:17.000,"4"
2019/12/18 16:54:29.000,"3"
2020/02/26 05:54:33.000,"75"
2020/02/13 06:03:14.000,"29"
2021/03/11 05:46:32.000,"10"
2020/02/15 05:46:55.000,"96"
2020/05/27 17:02:36.000,"246"
2021/03/10 17:11:11.000,"77"
2019/12/11 17:02:36.000,"27"
2020/01/09 17:10:53.000,"80"
2020/02/28 16:54:26.000,"29"
2020/03/17 16:55:08.000,"3"
2020/04/26 17:10:53.000,"32"
2020/02/26 17:10:26.000,"31"
2020/04/14 17:10:28.000,"41"
2020/04/09 05:46:29.000,"50"
2020/04/27 17:03:19.000,"66"
2020/04/14 17:10:53.000,"79"
2019/12/16 17:10:53.000,"18"
2021/01/28 05:47:02.000,"1"
2019/12/10 17:11:11.000,"139"
2019/11/23 17:03:20.000,"6"
2020/01/29 16:55:03.000,"68"
2020/03/28 05:46:29.000,"51"
2020/04/16 16:54:28.000,"1"
2020/01/10 05:46:56.000,"96"
2020/02/25 06:03:14.000,"32"
2020/01/16 05:46:31.000,"24"
2020/02/14 17:10:52.000,"142"
2020/04/19 06:02:52.000,"31"
2020/02/15 17:03:16.000,"63"
2020/01/05 16:55:09.000,"25"
2020/02/01 06:03:14.000,"22"
2020/04/28 16:54:28.000,"28"
2020/11/16 17:10:35.000,"16"
2020/01/16 17:02:35.000,"43"
2020/03/02 06:02:50.000,"2"
2020/02/27 05:46:55.000,"62"
2021/01/04 17:03:24.000,"6"
2019/12/12 16:55:10.000,"4"
2020/01/15 17:11:10.000,"31"
2020/05/16 16:55:10.000,"102"
2019/12/29 05:46:56.000,"10"
2021/03/28 05:54:35.000,"9"
2021/05/03 05:54:35.000,"7"
2020/04/26 17:10:28.000,"29"
2020/03/16 17:02:33.000,"13"
2019/12/27 06:03:16.000,"34"
2020/11/16 17:11:01.000,"26"
2020/03/29 16:55:08.000,"22"
2020/05/08 05:54:35.000,"97"
2020/01/03 05:55:05.000,"3"
2020/03/10 05:46:55.000,"7"
2021/05/15 05:54:38.000,"6"
2020/05/04 16:55:09.000,"24"
2019/12/04 17:10:29.000,"3"
2020/05/09 05:46:56.000,"70"
2020/03/27 17:11:09.000,"17"
2020/03/16 05:46:29.000,"7"
2020/01/15 05:55:05.000,"44"
2021/04/28 05:46:34.000,"16"
2021/01/16 17:03:24.000,"2"
2019/12/28 17:10:53.000,"3"
