Reg;T1;Detection;HIDP;Area;Z1_count;Z1_sum;NONE;Z2_count;Z2_sum;AT;Z3_count;Z3_sum;DET;Z4_count;Z4_sum;B40;AT - NONE;DET - AT;DET - B40;B40 - AT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;02.04.2019;<25% true;EXCLUDED_T;R6;35696;5447,812908;0,1526169;77702,53868;8363,440911;0,107634075;163;76,667432;0,4703523;231;76,67677;0,331934069;-0,044982825;0,36271827;0,138418274;0,224299994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;03.05.2019;<25% false;EXCLUDED_F;R6;36414;-2414,537732;-0,066308;81988,27854;-1933,05477;-0,023577209;235;89,942557;0,3827343;317;67,807279;0,213903088;0,042730791;0,40631149;0,168831197;0,237480297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;10.01.2020;<25% true;EXCLUDED_T;R6;18741;689,73542;0,03680355;23152,4;3620,51;0,156377309;0;0;#DIV/0!;0;0;#DIV/0!;0,119573759;#DIV/0!;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;14.02.2020;<25% false;EXCLUDED_F;R6;35332;-1248,070238;-0,0353241;77716,5;-417,809;-0,005376066;741;277,819997;0,3749258;1199;195,247948;0,162842325;0,029948034;0,38030184;0,212083447;0,168218391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;03.04.2020;<25% true;EXCLUDED_T;R6;35151;2419,362844;0,06882771;78078,3;6563,8;0,084066892;191;106,560693;0,5579094;333;84,099814;0,252551994;0,015239182;0,4738425;0,305357393;0,168485102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;03.05.2020;<25% false;EXCLUDED_F;R6;33115;1168,978219;0,03530057;72771,5;-864,931;-0,011885573;196;50,130156;0,2557661;209;32,445614;0,155242172;-0,047186143;0,26765168;0,10052393;0,167127745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;14.05.2020;<25% true;EXCLUDED_T;R6;33722;-8744,100641;-0,2592996;72265,3;-10220,8;-0,141434409;395;256,585253;0,6495829;464;191,841101;0,413450649;0,117865191;0,79101733;0,23613227;0,554885058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;27.05.2020;<25% true;EXCLUDED_T;R6;35590;17948,02205;0,50429958;81396,1;26574,2;0,326480016;569;394,144554;0,6926969;726;449,564599;0,619234985;-0,177819564;0,36621692;0,073461947;0,292754969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;02.04.2019;<25% true;EXCLUDED_T;R5;92183;-10550,88456;-0,1144559;115872,3126;-7236,548113;-0,062452781;0;0;#DIV/0!;0;0;#DIV/0!;0,052003119;#DIV/0!;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;03.05.2019;<25% false;EXCLUDED_F;R5;90877;-36374,12038;-0,4002566;113547,7164;-21076,48586;-0,185617875;163;37,474257;0,2299034;229;-50,584105;-0,220891288;0,214638725;0,41552129;0,450794705;-0,035273413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;10.01.2020;<25% true;EXCLUDED_T;R5;90820;2714,745812;0,0298915;113497;1953,49;0,017211821;0;0;#DIV/0!;0;0;#DIV/0!;-0,012679679;#DIV/0!;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;14.02.2020;<25% false;EXCLUDED_F;R5;92189;2221,558003;0,02409786;115087;1896,74;0,016480923;0;0;#DIV/0!;0;0;#DIV/0!;-0,007616937;#DIV/0!;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romsdal;03.04.2020;<25% true;EXCLUDED_T;R5;92336;5579,563331;0,06042674;119579;10808;0,090383763;0;0;#DIV/0!;0;0;#DIV/0!;0,029957023;#DIV/0!;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
