fid,OBJECTID,skredTidsp,Dato,Tidsnøyak,registrert,registre_1,Kvalitet,objektType,X,Y,skredID,ansvarligI,eksposisjo,snittHelni,maksHelnin,minHelning,Høyde,noyHoydeSt,baneFlagg,veiFlagg,elvenettFl,bebyggelse,jordbrukPr,breProsent,kjenteSkre,regions_id,Varslingsr,safeName,SHAPE_Leng,SHAPE_Area,registre_2,_count,_sum,_mean
"309",8450,2020-03-30T05:02:51.000,2020-03-30T00:00:00.000,12 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,676173.499986071,7705959.53017503,{929C75A6-0314-431D-A81B-35CCE97699AB},NVE satellitt,"166","32","37","28","203",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,526.244318360601,11761.5,2020/03/30,28,10.5251869000494,0.375899532144623
"335",9451,2020-03-30T11:43:29.000,2020-03-30T00:00:00.000,4 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,671483.688248508,7704630.99993455,{0B24D92D-3AB5-4EDB-96C3-35C5C5285A6A},NVE satellitt,"105","27","44","8","266",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,3007.47991875807,90268,2020/03/30,218,157.884498253465,0.724240817676444
"852",23572,2020-03-30T11:43:29.000,2020-03-30T00:00:00.000,4 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,669658.02790071,7716440.49993911,{A930F190-66C3-4A0A-8712-1397061084D2},NVE satellitt,"10","23","32","9","459",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1126.7593373654,44316,2020/03/30,108,60.2970521301031,0.558306038241695
"1279",35699,2020-03-30T05:02:51.000,2020-03-30T00:00:00.000,12 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,662188.748904227,7707774.49996717,{7FFEE78C-4015-40C9-952F-1CA2E79CC631},NVE satellitt,"73","30","43","24","370",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,885.665068544533,30549,2020/03/30,74,59.0914475619793,0.798533075161882
"2747",75548,2020-03-30T11:43:29.000,2020-03-30T00:00:00.000,4 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,666509.710518469,7704413.99995394,{AF9D5848-E3D4-4A55-90D9-E3BE375B935A},NVE satellitt,"-10","37","61","10","330",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,3039.1857334349,143554.5,2020/03/30,351,130.24970516935,0.371081781109259
"2972",81738,2020-03-30T05:02:51.000,2020-03-30T00:00:00.000,12 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,676444.999986063,7702177.14404539,{CD7668A2-0439-438B-801E-F2783DD60664},NVE satellitt,"96","28","37","20","469",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,843.366076129354,28116.5,2020/03/30,68,49.9533820748329,0.734608559924014
"3150",86670,2020-03-30T11:43:29.000,2020-03-30T00:00:00.000,4 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,662401.656572631,7715418.49996518,{34C26E12-8DBE-4ECE-982F-FF1351556F78},NVE satellitt,"44","11","27","0","559",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1122.49318942074,39434,2020/03/30,96,45.8956690579653,0.478079886020472
"3767",103116,2020-03-30T11:43:29.000,2020-03-30T00:00:00.000,4 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,661546.499994094,7712913.08344274,{D1A338F5-72D2-4571-AF31-F3FC607431F7},NVE satellitt,"34","29","52","18","418",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,886.828641604083,23724,2020/03/30,57,44.3537383675575,0.778135760834343
"4482",124141,2020-03-30T05:02:51.000,2020-03-30T00:00:00.000,12 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,668388.999990772,7715958.72775086,{9504D884-A09A-44CC-B478-ABF1804E85DB},NVE satellitt,"79","21","37","4","459",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1678.49611282026,60465,2020/03/30,147,102.758586138487,0.699038000942087
"4686",130577,2020-03-30T11:43:29.000,2020-03-30T00:00:00.000,4 timer,2020-03-30T15:59:13.000,Sentinel-1,Godkjent kvalitet B,Utlop,676755.004033921,7710921.99990704,{11ED7EDD-4F45-40C6-8230-7D14B29CAF30},NVE satellitt,"-20","28","42","9","553",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,2406.29054625933,65279.5,2020/03/30,157,47.3896075040102,0.301844633783504
