fid,OBJECTID,skredTidsp,Dato,Tidsnøyak,registrert,registre_1,Kvalitet,objektType,X,Y,skredID,ansvarligI,eksposisjo,snittHelni,maksHelnin,minHelning,Høyde,noyHoydeSt,baneFlagg,veiFlagg,elvenettFl,bebyggelse,jordbrukPr,breProsent,kjenteSkre,regions_id,Varslingsr,safeName,SHAPE_Leng,SHAPE_Area,registre_2,_count,_sum,_mean
"5",130,2020-04-29T18:23:51.000,2020-04-29T00:00:00.000,12 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,671523.499989338,7705441.93546047,{0FBFF00E-9B62-4BE5-A8EA-2EC2D6CA4778},NVE satellitt,"-138","25","31","17","444",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,451.031607629226,8026.5,2020/04/30,19,8.79166643321514,0.462719285958692
"88",2484,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,662366.274663481,7715164.99996534,{20C99839-3796-4B52-933B-37F3FB16F46D},NVE satellitt,"38","18","33","5","563",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1523.66679548246,60697.5,2020/04/30,148,73.828042615205,0.498838125778413
"126",3433,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet C,Utlop,664010.999993199,7708059.59996155,{E8DF6A3B-D4B9-40C4-8F2E-B82885B275A2},NVE satellitt,"17","17","26","3","450",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,848.877238414614,23390.5,2020/04/30,56,47.3662352561951,0.845825629574912
"170",4828,2020-04-29T18:23:51.000,2020-04-29T00:00:00.000,12 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,660469.1881523,7717182.49997052,{C65285B4-BEC3-41FC-A62D-B7D1501B903D},NVE satellitt,"-107","31","35","24","550",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,848.371818395435,21540.5,2020/04/30,12,11.625,0.96875
"660",18469,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,663727.999993298,7708931.55697982,{495B7E41-F5D8-4853-A1B7-0F0A6416F7A2},NVE satellitt,"163","29","39","15","436",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1713.56223844471,48638,2020/04/30,117,85.7684568539262,0.733063733794241
"788",21989,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,668244.499990928,7713914.1012612,{EDD34303-3E97-403E-ADFB-1A92D1BE2FE7},NVE satellitt,"-161","35","51","23","717",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,3101.12258939915,142152.5,2020/04/30,347,148.356984904036,0.427541743239297
"798",22334,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,670174.499990136,7705862.28941341,{9D78042B-4A18-4779-99A8-3739D4B4EA23},NVE satellitt,"-142","32","45","11","574",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,768.543885603676,20656,2020/04/30,50,21.8550687227398,0.437101374454796
"866",24095,2020-04-29T18:23:51.000,2020-04-29T00:00:00.000,12 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,661550.628450796,7714158.99996794,{B8503BC1-8565-4481-8F5B-3B35E3C4B0B6},NVE satellitt,"-138","33","38","28","495",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,684.587103897178,15881,2020/04/30,38,36.5093131363392,0.960771398324715
"884",24479,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,671766.771789019,7715745.49993019,{0C3E967B-C451-4195-9373-78A9C76F774B},NVE satellitt,"76","17","26","6","588",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,843.286094677902,22712,2020/04/30,55,18.4309112280607,0.335107476873831
"924",25568,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,669001.838148536,7710241.49994333,{C6F866FE-F8A1-4A13-8B9F-3B44CB50B1A3},NVE satellitt,"160","25","32","22","492",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,488.650730240951,9289,2020/04/30,22,7.09412722289562,0.322460328313437
"1363",37661,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,674914.999986554,7715042.7999153,{F1ABAE2F-DA07-4DBE-81DB-0B4B6A3D856C},NVE satellitt,"-156","26","38","17","615",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,965.592602537878,29855,2020/04/30,72,41.0256205201149,0.569800285001596
"2218",60020,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,665801.574447651,7705989.49995606,{18A79BE8-C74A-44C6-A149-DF91939D8071},NVE satellitt,"165","19","38","4","637",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1962.20103367958,70474.5,2020/04/30,171,80.115993976593,0.468514584658439
"2466",67101,2020-04-29T18:23:51.000,2020-04-29T00:00:00.000,12 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,662869.557888392,7709232.99996488,{8C26CD15-5738-4865-8B95-974228CE41D1},NVE satellitt,"-116","29","34","25","482",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,527.505888732433,9753,2020/04/30,23,23,1
"2720",74846,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,670522.558323105,7709804.99993725,{21576525-9F3A-4F27-AC12-9D587E9AE3E0},NVE satellitt,"-122","19","40","4","629",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1553.8119367504,64862.5,2020/04/30,158,106.85760396719,0.676313949159429
"2761",75841,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,662635.4999936,7714889.58492763,{D8F58C67-74FE-45B5-8EAC-8F7A739B709E},NVE satellitt,"71","20","48","6","560",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,920.378126445898,22058,2020/04/30,53,24.3813619613647,0.46002569738424
"2898",79808,2020-04-29T23:38:51.000,2020-04-29T00:00:00.000,6 timer,2020-04-30T05:19:23.000,Sentinel-1,Godkjent kvalitet B,Utlop,662122.385600753,7712327.99996658,{48615866-A7D5-4AB0-B4C8-85870AAF01A0},NVE satellitt,"38","22","39","4","538",50m,"0","0","0",0,0,0,0,"3010",Lyngen,Lyngen,1759.95083537533,78657.5,2020/04/30,192,89.4711115807295,0.465995372816299
