fid,OBJECTID,skredTidsp,Dato,Tidsnøyak,registrert,registre_1,Kvalitet,objektType,X,Y,skredID,ansvarligI,eksposisjo,snittHelni,maksHelnin,minHelning,Høyde,noyHoydeSt,baneFlagg,veiFlagg,elvenettFl,bebyggelse,jordbrukPr,breProsent,kjenteSkre,regions_id,Varslingsr,safeName,SHAPE_Leng,SHAPE_Area,new_Dato,new_regist,_count,_sum,_mean
"7014",187564,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,131880.501159478,6952613.51659811,{3EB74E7F-80AF-4B4B-A36C-1DDFAECC1CB3},NVE satellitt,"-17","33","65","8","844",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1085.55775474709,24697.5,2020/05/15,2020/05/15,58,38.882455304265,0.670387160418362
"7182",190666,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,133247.750777815,6950602.49442649,{DF17E9F0-0C4F-4344-A701-535F7CEF42AD},NVE satellitt,"23","21","40","9","568",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,3844.20583794165,163560.499499992,2020/05/15,2020/05/15,398,338.889781743288,0.851481863676603
"7189",190800,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,124252.018623398,6949176.9932454,{09B2324F-57E4-4FF4-B7BE-5955F99A6CD2},NVE satellitt,"-123","26","37","11","839",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,2286.08340235019,110584.994300116,2020/05/15,2020/05/15,268,243.72210759297,0.9094108492275
"7250",192157,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,122170.001471487,6954012.66785775,{12F7747E-7D72-4D81-B63F-60BD66F67894},NVE satellitt,"158","29","33","21","797",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,487.423904686326,8090.4975500498,2020/05/15,2020/05/15,19,6.94736873358488,0.365650985978152
"7320",193240,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,129182.00119802,6940260.36313125,{F1F1200D-0194-4A35-9BA4-4A2CEB89DE97},NVE satellitt,"-146","35","42","29","1220",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,727.127795180362,14734.9976999611,2020/05/15,2020/05/15,4,3.44578313827515,0.861445784568787
"7350",193691,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,121436.501461602,6944976.62571599,{87201C9A-B23B-46EA-A071-A884E444E837},NVE satellitt,"72","14","26","3","857",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1209.99287123004,36617.5,2020/05/15,2020/05/15,88,77.9912546873093,0.886264257810333
"7408",194709,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,130388.394946303,6950681.49406494,{E63870EC-71E5-449A-B924-00178A104270},NVE satellitt,"-99","22","33","14","801",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1005.1083028746,34690.4994999915,2020/05/15,2020/05/15,83,79.7919652163982,0.961348978510822
"7444",195208,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,130808.001188831,6952160.44409885,{BFC10702-4A41-4B02-A7E6-5294C677BEB9},NVE satellitt,"-49","26","35","20","658",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,1125.74442117108,32837.5,2020/05/15,2020/05/15,72,72,1
"7550",197807,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,131830.001149973,6949087.39427042,{C2B79CB9-3354-498D-8450-9E67D1FAEC2B},NVE satellitt,"143","27","32","22","1148",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,487.787936344879,10914.9856000245,2020/05/15,2020/05/15,26,20.7928937375546,0.799726682213637
"7585",198478,2020/05/15 00:28:46.000,2020/05/15 00:00:00.000,6 timer,2020/05/15 05:46:31.000,Sentinel-1,Godkjent kvalitet B,Utlop,121664.159382726,6953678.99278586,{9D8C82D1-CBA0-4B77-B235-385D08498FFF},NVE satellitt,"39","24","31","11","877",50m,"0","0","0",0,0,0,0,"3023",Romsdal,Romsdal,566.547040072097,6948.5,2020/05/15,2020/05/15,16,7.39922489225864,0.462451555766165
