fid,OBJECTID,skredTidsp,Dato,TidsnÃ¸yak,registrert,registre_1,Kvalitet,objektType,X,Y,skredID,ansvarligI,eksposisjo,snittHelni,maksHelnin,minHelning,HÃ¸yde,noyHoydeSt,baneFlagg,veiFlagg,elvenettFl,bebyggelse,jordbrukPr,breProsent,kjenteSkre,regions_id,Varslingsr,safeName,SHAPE_Leng,SHAPE_Area,new_Dato,new_regist,_count,_sum,_mean,_median,_min,_max
2514,66762.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,87175.003342063180753,6962812.979846894741058,{4B9CB629-2DBC-4927-B79B-6DF98DCABD20},NVE satellitt,"157",20,27,15,564,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,886.077052783915406,30207.500000000000000,2020/02/14,2020/02/14,73,15.5877643860877,0.213531018987502,0.224489793181419,0.00584795325994492,0.3584905564785
1669,43629.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,88125.788805525749922,6963461.485362146049738,{0A12EB51-00B9-4617-AD03-F6CBBCC24011},NVE satellitt,"-165",34,38,24,919,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1848.354785004584983,45597.997950041666627,2020/02/14,2020/02/14,109,35.8685151711106,0.329068946523951,0.312169313430786,0.112781956791878,0.680000007152557
5108,136461.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,88167.003281942554167,6964108.960351858288050,{4BC49766-17B8-44A3-BBE7-7EE7ECE970D6},NVE satellitt,"-23",22,29,15,818,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,448.345393514802197,7292.001149976626039,2020/02/14,2020/02/14,17,5.08374160528183,0.299043623840108,0.267080754041672,0.142857149243355,0.527027010917664
1031,26948.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,88612.003238583914936,6962769.560524228960276,{54DAABC6-257E-4230-993E-0E36230F466F},NVE satellitt,"166",31,37,27,473,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,729.025425778851627,18436.000000000000000,2020/02/14,2020/02/14,44,10.2282410338521,0.232460023496639,0.236580304801464,0.0531400963664055,0.359683781862259
2982,79977.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,88789.828871148638427,6963243.985558632761240,{0486DA1C-2AAB-492E-9F1B-DC0E4DC26D0A},NVE satellitt,"140",21,31,10,738,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,644.290666383553912,14681.003049938008189,2020/02/14,2020/02/14,35,15.1850526183844,0.433858646239553,0.395833343267441,0.115789473056793,1
3068,82023.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,89119.003219692967832,6964724.619411040097475,{E7EBE65E-F295-46FD-A9DA-3FD6E2B7B990},NVE satellitt,"-13",24,34,12,821,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,929.897188850617113,17402.500000000000000,2020/02/14,2020/02/14,41,19.0180681254715,0.463855320133451,0.46428570151329,-0.025000000372529,1
222,5639.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,89843.900322186760604,6959878.985964812338352,{B9FE45DC-D278-4813-B043-9781E028B0D1},NVE satellitt,"-166",33,41,19,780,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1489.210992574682678,33600.999649994075298,2020/02/14,2020/02/14,80,32.3963480740786,0.404954350925982,0.39061076939106,0.0740740746259689,0.75
1074,28018.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,90515.752316677011549,6964162.486010134220123,{699DE1EA-1C29-45A5-A520-48B3935C9F0F},NVE satellitt,"-32",31,36,19,859,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,648.075352670781513,14695.500000000000000,2020/02/14,2020/02/14,35,8.27224335074425,0.236349810021264,0.239130437374115,0.0460251048207283,0.409090906381607
2662,70605.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,91088.366175681352615,6959409.486319400370121,{58168645-9A25-4668-8B45-EB97687B3738},NVE satellitt,"169",29,34,25,656,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,446.018381855119060,9260.500000000000000,2020/02/14,2020/02/14,22,5.11057096719742,0.232298680327155,0.23136792331934,0.107296139001846,0.385826766490936
2854,76140.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,91189.733838701620698,6963837.986205116845667,{668D9093-6D3A-4C86-87C5-ED538350B711},NVE satellitt,"82",20,35,6,785,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,604.781685959417928,16677.000000000000000,2020/02/14,2020/02/14,40,12.8532220348716,0.321330550871789,0.301754981279373,0.0786516889929771,1
4400,117788.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,92593.002945676445961,6960002.943519778549671,{D7C7E543-08FF-485B-8B85-3462974D4AC2},NVE satellitt,"114",17,27,11,715,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,846.697666412006356,23715.992200013250113,2020/02/14,2020/02/14,56,26.1992154344916,0.467843132758779,0.418333321809769,0.111111111938953,1
5391,145230.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,88884.003220906481147,6962945.327700573951006,{440F1142-352B-4BB6-801B-412115141C1A},NVE satellitt,"155",27,31,23,542,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,767.025883007387165,16821.000000000000000,2020/02/14,2020/02/14,40,11.7454160600901,0.293635401502252,0.307029232382774,0.0449438206851482,0.507853388786316
5432,146396.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,88905.238130840472877,6963401.485585987567902,{1C4E1A84-E01D-4082-829B-609092605DA7},NVE satellitt,"-175",28,35,13,754,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1247.976015757802998,45434.498450031504035,2020/02/14,2020/02/14,110,57.8532853871584,0.525938958065076,0.5307896733284,0.172413796186447,1
5553,150097.000000000000000,2020/02/14 12:02:55.000,2020/02/14 00:00:00.000,6 timer,2020/02/14 17:10:52.000,Sentinel-1,Godkjent kvalitet B,Utlop,89593.003148063085973,6960192.346883814781904,{4586A1AC-B08B-4511-96EA-2961F1DDB2DD},NVE satellitt,"-171",30,36,20,900,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,726.760120224266643,16353.491700014101298,2020/02/14,2020/02/14,39,22.4183128401637,0.574828534363172,0.529411792755127,0.123287670314312,1
