fid,OBJECTID,skredTidsp,Dato,TidsnÃƒÆ’Ã,registrert,registre_1,Kvalitet,objektType,X,Y,skredID,ansvarligI,eksposisjo,snittHelni,maksHelnin,minHelning,HÃƒÆ’Ã‚Â¸y,noyHoydeSt,baneFlagg,veiFlagg,elvenettFl,bebyggelse,jordbrukPr,breProsent,kjenteSkre,regions_id,Varslingsr,safeName,SHAPE_Leng,SHAPE_Area,new_Dato,new_regist,_count,_sum,_mean,_median,_min,_max
4685,124823.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet C,Utlop,123026.271549366414547,6917118.493560452014208,{43DB7AD5-35C8-4655-9C8A-5D505AD3DF4F},NVE satellitt,"105",7,20,1,1310,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1089.986673678339912,37651.995950082316995,2020/05/03,2020/05/03,97,17.5876272590831,0.181315744939001,0.122807018458843,-1,1
3117,83475.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,128157.108002584427595,6920469.494189888238907,{9C61A11A-AF90-43DB-8DD8-100C48B58BD9},NVE satellitt,"102",8,17,2,1521,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,807.301356422104959,14473.500000000000000,2020/05/03,2020/05/03,72,20.3491187011823,0.282626648627532,0.210227273404598,-1,1
4347,116431.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,122053.317139319144189,6920669.993371244519949,{5FD52359-CA2C-405E-94C1-532B0EE4AE63},NVE satellitt,"60",22,30,14,1307,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,807.193236600215641,16795.990899930708110,2020/05/03,2020/05/03,55,34.9604693353176,0.635644897005775,1,-1,1
1163,30247.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,122168.952663050964475,6920986.493382778018713,{5B4FC59F-43CD-4444-8BF9-ABB438ADDD7F},NVE satellitt,"72",11,19,2,1291,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,849.137071769285171,20507.989899923097255,2020/05/03,2020/05/03,59,0.371472295373678,0.00629614059955387,-0.104477614164352,-1,1
5096,136081.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,121966.501355293206871,6921405.493347708135843,{932A7739-3C1D-4404-B7DF-C5492BB86145},NVE satellitt,"73",14,18,7,1324,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,489.080505609125908,9335.001300022006035,2020/05/03,2020/05/03,45,29.2526479512453,0.650058843361007,1,-1,1
1811,47747.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,121846.501359652727842,6921537.959674783051014,{E61EB328-C82C-47BD-89A9-828EC986F35B},NVE satellitt,"73",19,25,9,1355,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,447.202094988186730,10439.500000000000000,2020/05/03,2020/05/03,41,33.041681792587,0.805894677867977,1,-1,1
1295,33736.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,125276.876254173927009,6922053.493794098496437,{C3A97EE7-5A25-4CA6-B97C-EA4D4613A0FA},NVE satellitt,"161",31,49,14,1754,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1244.460768484985920,28195.495900006964803,2020/05/03,2020/05/03,118,41.6318438369781,0.352812235906594,0.282134428620338,-0.136363640427589,1
4582,122465.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,123350.022004122845829,6922327.993527851998806,{63339FA0-F1A9-4288-8228-E89E4D370AA4},NVE satellitt,"-131",17,25,9,1615,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1677.644506870793748,62685.998700026422739,2020/05/03,2020/05/03,144,16.4541417206638,0.114264873060165,0.100840620696545,-1,0.8125
5257,141130.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,126002.376571670174599,6922611.493882521986961,{62F671F5-BC89-450E-A145-F0A722E8685E},NVE satellitt,"79",15,31,6,1469,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1046.133876327029611,24680.000000000000000,2020/05/03,2020/05/03,95,25.0206771451049,0.263375548895841,0.151898726820946,-1,1
4806,128088.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,125728.466452738270164,6922805.993843524716794,{3006FB8A-D8F0-454B-9F09-D78C3C9652A1},NVE satellitt,"102",22,31,13,1541,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,1685.769544259575014,44256.992599956691265,2020/05/03,2020/05/03,138,42.2059802329168,0.305840436470411,0.150983825325966,-1,1
3169,85009.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,126052.501233505085111,6922826.345859806984663,{93CC0A6B-6E17-4BFF-A95F-A8B27F36E4FC},NVE satellitt,"94",14,16,9,1494,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,569.939786328842047,13379.500000000000000,2020/05/03,2020/05/03,47,37.2089228332043,0.791679209217112,1,-1,1
5294,142195.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,133347.379578297026455,6923926.994771495461464,{7A77B06F-4B6C-4490-BF42-B45FA8334074},NVE satellitt,"104",9,12,4,1346,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,406.491014921483099,6357.000000000000000,2020/05/03,2020/05/03,38,11.6340768486261,0.306159917069109,0.509050339460373,-1,1
4100,109475.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,130710.501114604063332,6927191.063168376684189,{DF365D65-8B18-4D76-9C01-E715B9A15379},NVE satellitt,"96",8,21,1,1347,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,648.645067248374744,13926.500000000000000,2020/05/03,2020/05/03,64,17.7618971178308,0.277529642466106,0.202087737619877,-1,1
2480,66009.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,126007.501251894980669,6927971.046438787132502,{45923B5D-6B7D-4BC7-9787-45A2AD834E84},NVE satellitt,"-12",6,14,3,1326,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,528.258774025021239,9757.500000000000000,2020/05/03,2020/05/03,57,1.59082061611116,0.0279091336159853,0.0566037744283676,-1,0.95061731338501
5962,160292.000000000000000,2020/05/03 12:24:32.000,2020/05/03 00:00:00.000,4 timer,2020/05/03 17:02:36.000,Sentinel-1,Godkjent kvalitet B,Utlop,122357.120562651194632,6918357.993449024856091,{678457FE-2EC0-4759-B444-F40FAFDB4618},NVE satellitt,"-113",6,8,4,1403,50m,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3023,Romsdal,Romsdal,688.264070033026428,19120.503050051629543,2020/05/03,2020/05/03,74,16.656614260748,0.225089381902,0.291287869215012,-1,0.901639342308044
