Reg;Case;T1;T0;REF;ACT;Z1_count;Z1_sum;NONE;Z2_count;Z2_sum;AT;Z3_count;Z3_sum;DET;Z4_count;Z4_sum;B40;AT - NONE;DET - AT;DET - B40;B40 - AT;;;;
Lyngen;A1;31.05.2019_05.11;19.05.2019;Wet;Dry;110547;28509,50302;0,257894859;455544,669;80715,5701;0,177184754;514;456,8221;0,888758949;643;507,659287;0,789516776;-0,080710105;0,711574195;0,099242173;0,612332022;;;;
Romsdal;A2;14.02.2020_5.54;08.02.2020;Wet;Dry;89369;314,55899;0,003519777;424490,8078;-11129,42019;-0,026218283;1496;446,761367;0,298637277;2012;208,097899;0,103428379;-0,029738061;0,324855561;0,195208898;0,129646662;;;;
Romsdal;A3;09.04.2019_17.03;03.04.2019;Wet;Dry;89136;8791,338273;0,098628369;424523,7953;45412,35112;0,106972452;428;126,355007;0,295221979;602;46,627838;0,07745488;0,008344083;0,188249527;0,217767099;-0,029517571;;;;
Lyngen;B1;30.04.2020_05.19;24.04.2020;Dry;Dry;127924;9416,740475;0,073611992;501134,9877;52222,03716;0,104207526;3425;2156,106038;0,629520011;3687;1500,684883;0,407020581;0,030595534;0,525312485;0,22249943;0,302813055;;;;
Lyngen;B2;16.01.2019_16.07;10.01.2019;Dry;Dry;133925;-21330,497;-0,159271958;524225,7047;-24650,01971;-0,047021768;5819;2433,379539;0,418178302;6284;885,304502;0,14088232;0,11225019;0,46520007;0,277295981;0,187904089;;;;
Romsdal;B3;15.05.2020_05.46;09.05.2020;Dry;Dry;72877;-5481,440019;-0,075214951;341993,3683;-11472,93425;-0,033547242;3040;2258,547557;0,742943275;3436;1202,003843;0,349826497;0,04166771;0,776490517;0,393116779;0,383373739;;;;
Lyngen;Not in use;30.03.2020_15.59;24.03.2020;Wet;Dry;133766;-5065,931361;-0,037871592;536336,8476;14992,6406;0,027953777;2271,353787;1387,809867;0,611005593;2269;945,444758;0,416679047;0,065825369;0,583051816;0,194326546;0,38872527;;;;
Lyngen;Not in use;27.04.2020_16.14;21.04.2020;Dry;Dry;115240;11132,44572;0,096602271;457685,7628;34884,01352;0,076218262;3871;2482,659268;0,6413483;4544;2042,54151;0,449502973;-0,020384009;0,565130037;0,191845327;0,373284711;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
